"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"3 Swarms - 1"
"08/19/2022 03:16:02:617 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-30","30"
"[run number]","nTrees","spawnChance","randomMap?","spawnRate","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","witherRate","startingCount","initFood","showPA","antWars","nEnergy","week","nFlowers","nBushes","[step]","count workers with [scent = 1]","count workers with [scent = 2]","count workers with [scent = 3]","food1Total","food2Total","food3Total"
"93","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","48","280","80","50","0","1769","28","18","9","1235","910","685"
"94","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","48","280","80","50","0","2000","22","17","14","1230","855","920"
"95","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","48","280","100","50","0","2000","22","29","14","995","1345","710"
"92","0","15","false","2","150","220","false","25","false","6","12","5","35","500","false","48","270","100","50","0","2000","33","29","20","1750","1660","1095"
"98","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","12","270","80","50","0","2000","27","31","37","1320","1590","1740"
"99","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","12","270","100","50","0","2000","39","18","35","1830","1320","1635"
"100","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","12","270","100","50","0","1926","9","24","20","620","1045","1170"
"101","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","12","280","80","50","0","2000","35","40","11","2250","1980","720"
"102","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","12","280","80","50","0","2000","44","14","36","1660","940","1450"
"103","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","12","280","100","50","0","2000","38","25","29","2320","1050","1265"
"104","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","12","280","100","50","0","1901","38","9","27","1935","690","1220"
"105","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","24","270","80","50","0","1849","37","9","12","1680","815","1000"
"109","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","24","280","80","50","0","1681","10","37","8","565","1820","645"
"106","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","24","270","80","50","0","2000","26","23","10","1085","1310","985"
"108","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","24","270","100","50","0","2000","42","20","34","2185","860","1510"
"107","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","24","270","100","50","0","2000","21","23","32","1010","905","1590"
"110","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","24","280","80","50","0","2000","36","24","20","2155","1110","1670"
"112","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","24","280","100","50","0","2000","24","39","24","770","1390","1110"
"111","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","24","280","100","50","0","2000","39","36","23","1855","2205","1090"
"114","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","36","270","80","50","0","2000","32","24","32","1600","1535","1730"
"117","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","36","280","80","50","0","1684","9","35","50","750","1110","1855"
"113","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","36","270","80","50","0","2000","20","36","16","1330","1755","1405"
"115","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","36","270","100","50","0","2000","29","39","26","1375","2290","1410"
"119","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","36","280","100","50","0","1990","9","25","47","610","945","1980"
"118","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","36","280","80","50","0","2000","26","19","30","1340","1555","1835"
"116","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","36","270","100","50","0","2000","40","41","39","2030","2365","1530"
"120","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","36","280","100","50","0","2000","31","22","29","1570","830","1240"
"122","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","48","270","80","50","0","2000","28","40","33","1785","1910","1830"
"121","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","48","270","80","50","0","2000","35","42","31","2630","2000","1995"
"124","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","48","270","100","50","0","2000","31","35","27","1220","1475","1045"
"132","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","12","270","100","50","0","1540","33","19","9","1235","870","600"
"123","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","48","270","100","50","0","2000","26","38","19","1060","1580","860"
"125","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","48","280","80","50","0","2000","16","33","36","1010","1380","1450"
"130","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","12","270","80","50","0","1810","31","27","9","1385","1200","785"
"129","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","12","270","80","50","0","2000","32","22","24","2125","1250","1500"
"127","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","48","280","100","50","0","1949","34","9","26","1495","405","1260"
"131","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","12","270","100","50","0","2000","19","26","15","915","1480","915"
"133","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","12","280","80","50","0","2000","10","17","32","1065","1125","1695"
"126","0","15","false","2","150","220","false","25","false","6","12","5","45","500","false","48","280","80","50","0","2000","42","31","21","2255","2055","1790"
"134","0","15","false","2","150","220","false","25","false","6","18","5","35","500","false","12","280","80","50","0","2000","16","22","11","1450","1565","855"
