"BehaviorSpace results (NetLogo 6.2.2)"
"AntsVariablesTest.nlogo"
"Baseline 2"
"08/18/2022 10:52:15:202 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","nTrees","spawnChance","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","initFood","startingCount","showPA","nEnergy","week","antWars","nFlowers","nBushes","spawnRate","witherRate","[step]","count workers","food1Total","storedFoodTEST","count [bushes in-radius 10] of patch 0 0","count [bushes in-radius 20] of patch 0 0","count [bushes in-radius 30] of patch 0 0"
"188","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","10","10","178","47","1790","2010","1","3","5"
"189","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","10","10","203","48","1825","2005","1","3","5"
"170","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","1","10","1487","48","4900","2002","1","3","5"
"166","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","1","5","1488","48","4835","2005","1","3","5"
"171","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","1","10","1522","48","4805","2005","1","3","5"
"167","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","1","5","1670","48","4875","2005","1","3","5"
"168","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","1","5","1618","48","4965","2003","1","3","5"
"164","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","1","2","1711","48","3905","972","1","3","5"
"165","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","1","2","1716","48","3445","517","1","3","5"
"169","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","1","10","1612","48","4965","2002","1","3","5"
"163","25","1","100","100","false","25","false","5","2","500","40","false","500","60","35","50","15","1","2","1716","48","4360","1250","1","3","5"
"199","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","2","2","479","48","2070","2004","1","3","5"
"200","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","2","2","450","48","2015","2004","1","3","5"
"196","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","1","10","789","48","2445","2001","1","3","5"
"193","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","1","5","870","48","2765","2004","1","3","5"
"202","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","2","5","456","48","2030","2013","1","3","5"
"208","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","10","2","208","46","1860","2010","1","3","5"
"194","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","1","5","940","48","3010","2003","1","3","5"
"205","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","2","10","335","48","1835","2004","1","3","5"
"201","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","2","2","542","48","2280","2002","1","3","5"
"206","25","1","100","100","false","25","false","5","2","500","40","false","500","80","35","50","15","2","10","389","48","1840","2001","1","3","5"
