"BehaviorSpace results (NetLogo 6.2.2)"
"AntsSwarmWars.nlogo"
"Baseline 3 - Plus Threats"
"08/19/2022 18:45:56:837 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","nTrees","spawnChance","spiderStability","nutrition","showPS","nPrey","showPF","nAntlions","nSpiders","initFood","startingCount","showPA","nEnergy","week","antWars","nFlowers","nBushes","spawnRate","witherRate","[step]","count workers","food1Total","storedFoodTEST","count [bushes in-radius 10] of patch 0 0","count [bushes in-radius 20] of patch 0 0","count [bushes in-radius 30] of patch 0 0"
"121","25","15","150","230","false","25","false","8","8","500","40","false","280","85","35","50","15","1","5","2000","3","760","10","1","3","5"
"114","25","15","150","230","false","25","false","8","4","500","40","false","280","85","35","50","15","3","5","2000","159","1895","28","1","3","5"
"113","25","15","150","230","false","25","false","8","4","500","40","false","280","85","35","50","15","2","5","2000","178","2935","649","1","3","5"
"116","25","15","150","230","false","25","false","8","4","500","50","false","280","85","35","50","15","2","5","2000","202","3235","664","1","3","5"
"117","25","15","150","230","false","25","false","8","4","500","50","false","280","85","35","50","15","3","5","2000","153","1960","10","1","3","5"
"122","25","15","150","230","false","25","false","8","8","500","40","false","280","85","35","50","15","2","5","2000","11","740","10","1","3","5"
"120","25","15","150","230","false","25","false","8","8","500","30","false","280","85","35","50","15","3","5","2000","154","2060","154","1","3","5"
"124","25","15","150","230","false","25","false","8","8","500","50","false","280","85","35","50","15","1","5","2000","8","560","10","1","3","5"
"127","25","15","150","230","false","25","false","8","10","500","30","false","280","85","35","50","15","1","5","2000","2","665","10","1","3","5"
"128","25","15","150","230","false","25","false","8","10","500","30","false","280","85","35","50","15","2","5","2000","3","485","10","1","3","5"
"123","25","15","150","230","false","25","false","8","8","500","40","false","280","85","35","50","15","3","5","2000","183","2975","598","1","3","5"
"125","25","15","150","230","false","25","false","8","8","500","50","false","280","85","35","50","15","2","5","2000","172","2630","10","1","3","5"
"126","25","15","150","230","false","25","false","8","8","500","50","false","280","85","35","50","15","3","5","2000","125","1900","10","1","3","5"
"130","25","15","150","230","false","25","false","8","10","500","40","false","280","85","35","50","15","1","5","2000","2","670","10","1","3","5"
"129","25","15","150","230","false","25","false","8","10","500","30","false","280","85","35","50","15","3","5","2000","94","1560","10","1","3","5"
"137","25","15","150","230","false","25","false","10","4","500","30","false","280","85","35","50","15","2","5","2000","13","650","10","1","3","5"
"139","25","15","150","230","false","25","false","10","4","500","40","false","280","85","35","50","15","1","5","2000","6","630","10","1","3","5"
"133","25","15","150","230","false","25","false","8","10","500","50","false","280","85","35","50","15","1","5","2000","2","765","9","1","3","5"
"136","25","15","150","230","false","25","false","10","4","500","30","false","280","85","35","50","15","1","5","2000","42","985","10","1","3","5"
"131","25","15","150","230","false","25","false","8","10","500","40","false","280","85","35","50","15","2","5","2000","179","2985","728","1","3","5"
"135","25","15","150","230","false","25","false","8","10","500","50","false","280","85","35","50","15","3","5","2000","76","1530","10","1","3","5"
"132","25","15","150","230","false","25","false","8","10","500","40","false","280","85","35","50","15","3","5","2000","166","3350","1083","1","3","5"
"134","25","15","150","230","false","25","false","8","10","500","50","false","280","85","35","50","15","2","5","2000","176","2575","347","1","3","5"
"145","25","15","150","230","false","25","false","10","8","500","30","false","280","85","35","50","15","1","5","2000","3","250","12","1","3","5"
"138","25","15","150","230","false","25","false","10","4","500","30","false","280","85","35","50","15","3","5","2000","126","1615","10","1","3","5"
"140","25","15","150","230","false","25","false","10","4","500","40","false","280","85","35","50","15","2","5","2000","96","1575","10","1","3","5"
"146","25","15","150","230","false","25","false","10","8","500","30","false","280","85","35","50","15","2","5","2000","5","395","10","1","3","5"
"141","25","15","150","230","false","25","false","10","4","500","40","false","280","85","35","50","15","3","5","2000","147","1780","10","1","3","5"
"142","25","15","150","230","false","25","false","10","4","500","50","false","280","85","35","50","15","1","5","2000","37","1105","10","1","3","5"
"143","25","15","150","230","false","25","false","10","4","500","50","false","280","85","35","50","15","2","5","2000","165","3085","951","1","3","5"
"144","25","15","150","230","false","25","false","10","4","500","50","false","280","85","35","50","15","3","5","2000","191","3360","945","1","3","5"
"147","25","15","150","230","false","25","false","10","8","500","30","false","280","85","35","50","15","3","5","2000","155","2110","103","1","3","5"
"148","25","15","150","230","false","25","false","10","8","500","40","false","280","85","35","50","15","1","5","2000","22","905","10","1","3","5"
"149","25","15","150","230","false","25","false","10","8","500","40","false","280","85","35","50","15","2","5","2000","87","1475","10","1","3","5"
"157","25","15","150","230","false","25","false","10","10","500","40","false","280","85","35","50","15","1","5","2000","5","560","10","1","3","5"
"152","25","15","150","230","false","25","false","10","8","500","50","false","280","85","35","50","15","2","5","2000","68","1270","10","1","3","5"
"159","25","15","150","230","false","25","false","10","10","500","40","false","280","85","35","50","15","3","5","2000","7","620","19","1","3","5"
